Price,Close,High,Low,Open,Volume,SMA_20,RSI,MACD,MACD_Signal
Ticker,SPY,SPY,SPY,SPY,SPY,,,,
Date,,,,,,,,,
2015-04-01,173.0705108642578,173.67630075700797,172.06927443489747,173.65106058133833,137303600,,,,
2015-04-02,173.693115234375,174.1474511913835,172.8180797669194,173.00318292971428,86900900,,,,
2015-04-06,174.8626708984375,175.3843184044772,172.65827624946525,172.79288626376007,114368200,,,,
2015-04-07,174.39987182617188,175.6451008241753,174.3662225401021,174.88786992338618,81236300,,,,
2015-04-08,174.98883056640625,175.43475742714278,174.23159966584876,174.62704617832665,89351900,,,,
2015-04-09,175.76290893554688,175.99849247497008,174.32416752252226,174.82057477785403,85548900,,,,
2015-04-10,176.72206115722656,176.76413239438736,175.81338919391666,176.01531059094594,72722900,,,,
2015-04-13,175.9228057861328,177.21852834054647,175.87232542345168,176.57907617767233,74436600,,,,
2015-04-14,176.2593231201172,176.44442630036414,175.08981457492408,175.72084464258236,75099900,,,,
2015-04-15,177.05018615722656,177.5634244092716,176.64633054788666,176.73047301740422,99529300,,,,
2015-04-16,176.9997100830078,177.51294834744064,176.51171199237183,176.71364622108493,68934900,,,,
2015-04-17,174.96360778808594,176.0405647858101,174.17271468449536,175.79657213218795,191113200,,,,
2015-04-20,176.562255859375,176.8988001654944,175.81343386566832,175.897563523027,92189500,,,,
2015-04-21,176.35186767578125,177.41199352535781,176.0489727418538,177.25213052712678,72559800,,,,
2015-04-22,177.21847534179688,177.40357850849924,175.76289018197028,176.69681512729994,78264600,,65.97893051276547,,
2015-04-23,177.66441345214844,178.32068368900124,176.69682632157046,176.81461808617635,102585900,,68.03224744577754,,
2015-04-24,178.07669067382812,178.34593634796752,177.62235464664332,178.0851126251077,61327400,,69.84432395585382,,
2015-04-27,177.33631896972656,178.77506065007134,177.14279379626166,178.64885974419633,79358100,,62.94407963344153,,
2015-04-28,177.9000244140625,177.95050477262933,176.12472572052766,177.3110655002138,86863500,,65.72091227731836,,
2015-04-29,177.1680450439453,177.7738222244295,176.3519116252025,176.9997600533384,125684900,176.1486846923828,59.48719777176084,,
2015-04-30,175.39271545410156,176.98291076485987,174.68595199727787,176.58746421534968,161304900,176.264794921875,47.67569422741451,,
2015-05-01,177.29420471191406,177.3362759497805,176.082624956061,176.18358565626897,103399700,176.44484939575196,57.426136303804874,,
2015-05-04,177.79905700683594,178.38801589852372,177.61395380682822,177.7233236334939,70927200,176.59166870117187,59.57978373062919,,
2015-05-05,175.76290893554688,177.91683575623625,175.61987698934993,177.5550384960463,113326200,176.65982055664062,48.847268158666104,,
2015-05-06,175.03932189941406,176.62951716104993,173.96236494118128,176.31821310169286,135060200,176.662345123291,45.696939778225456,,
2015-05-07,175.7376708984375,176.1667795805922,174.60182442774956,174.93836867721114,88244900,176.66108322143555,49.108309891505115,0.2021227219120192,
2015-05-08,178.0514373779297,178.25337161865582,177.3446867928973,177.42882926945137,155877300,176.7275520324707,58.42687247777798,0.32240302790140163,
2015-05-11,177.20166015625,178.2786171290056,177.12593962808901,178.00938430498658,75708100,176.79149475097657,54.481217547574246,0.3451771299767188,
2015-05-12,176.6715850830078,177.21848550265366,175.5273167315767,176.36028102949547,119727600,176.8121078491211,52.11691973253499,0.31680125390840885,
2015-05-13,176.7052001953125,177.71484545128448,176.46961673019692,177.08381556151,94667900,176.79485855102538,52.25841245422718,0.29364071889446564,
2015-05-14,178.5478515625,178.6404031483228,177.4540635950503,177.7317183525187,95934000,176.872265625,59.34947713597834,0.4191407994552492,
2015-05-15,178.74142456054688,178.88445654388698,178.25342629120476,178.74142456054688,76510100,177.06115646362304,60.021261608514585,0.5281322607137042,
2015-05-18,179.2967071533203,179.54910894555377,178.50581396874503,178.57312539278774,74549700,177.1978790283203,61.9631417891598,0.6518018772404162,
2015-05-19,179.23780822753906,179.6921571388218,178.95174429871165,179.4145023237805,72114600,177.3421760559082,61.621239685008376,0.7365675955139466,0.42397637616848116
2015-05-20,179.11158752441406,179.86881850836832,178.79186149911146,179.33874911659618,76857500,177.43683166503905,60.84640126832194,0.7845166623392004,0.496084433402625
2015-05-21,179.6332550048828,179.8435983948183,178.8002905589354,178.9685755415571,64764600,177.53527374267577,62.92155411077265,0.8547577340791292,0.5678190935379259
2015-05-22,179.20408630371094,179.66683130289036,179.13677490567804,179.24614469393708,57433500,177.5916435241699,60.099482084100075,0.8658134040487937,0.6274179556400995
2015-05-26,177.2773895263672,179.13683056454792,176.85670278670406,178.70772187355368,124308600,177.58869705200195,49.38981308913694,0.7109118253019062,0.6441167295724609
2015-05-27,178.960205078125,179.19578871556521,177.32793784847098,177.74021563316407,93214000,177.64170608520507,56.655076845815124,0.7156903267053565,0.65843144899904
2015-05-28,178.75819396972656,178.8675637790598,178.05985252370223,178.6488113220544,74974600,177.72121353149413,55.62281511419574,0.6951633054631259,0.6657778202918572
2015-05-29,177.64759826660156,178.73296442045205,177.3783654255848,178.6909060166005,124919600,177.83395767211914,50.20681025122994,0.582564263437547,0.6491351089209952
2015-06-01,178.0093536376953,178.65720182924832,177.21003873923524,178.32065764761916,93338800,177.8697151184082,51.851384796481405,0.5165647101037791,0.622621029157552
2015-06-02,177.83265686035156,178.53099822290446,176.91556306694036,177.5465930265359,91531000,177.87139511108398,50.96593902070563,0.4448734116057267,0.587071505647187
2015-06-03,178.30386352539062,178.93489362542599,177.80745626123112,178.37117494332855,87820900,177.99844284057616,53.258252635847306,0.42122436855072465,0.5539020782278945
2015-06-04,176.79782104492188,178.25339363302754,176.47809500053737,177.588714204184,151882800,178.08636779785155,45.87624463310231,0.2777554974183829,0.4986727620659922
2015-06-05,176.4949188232422,177.17642928917775,175.83022658333283,176.646359887521,121704700,178.1242301940918,44.539098296913735,0.1380226661987365,0.4265427428925411
2015-06-08,175.40953063964844,176.5369808029363,175.33381011148174,176.3855269082631,89063300,177.99213485717775,40.03602194026664,-0.05961120386061225,0.32931195354191045
2015-06-09,175.38430786132812,175.93120835290964,174.74486860725642,175.38430786132812,105034700,177.90126724243163,39.93497716824884,-0.21578529857239914,0.22029250311904855
2015-06-10,177.4877166748047,177.8747540887915,176.09945569613197,176.1583451583656,134551300,177.94207382202148,51.033755472606245,-0.16789153240176802,0.14265569601488526
2015-06-11,178.0598907470703,178.44691539549459,177.69809344005628,177.9336770099689,73876400,178.0098083496094,53.5482175036991,-0.08281111687480802,0.0975623334369466
2015-06-12,176.6968536376953,177.93367377643096,176.41919882712799,177.22692307953673,135382400,177.91725845336913,47.31501221184333,-0.12394126025111518,0.05326161469933425
2015-06-15,175.93954467773438,176.22560847528578,174.82892592723726,175.54409825945152,124384200,177.77716445922852,44.23413725665998,-0.215165406309211,-0.0004237895023748023
2015-06-16,176.8987579345703,176.98290041018407,175.6114576553835,175.7881388804974,85308200,177.65726699829102,48.783126785216915,-0.20766685174888266,-0.04187240195167637
2015-06-17,177.184814453125,177.79902625525523,176.1499288054114,177.184814453125,126708600,177.55461730957032,50.090651105676365,-0.1766060186132279,-0.06881912528398668
2015-06-18,179.02745056152344,179.49861766280586,177.21850268945548,177.7906305014868,165867900,177.55041046142577,57.59959899353128,-0.0032670892060764345,-0.055708718068404633
2015-06-19,178.23268127441406,178.85833074422996,177.85222416336924,178.7822419021784,130478700,177.48038177490236,53.83719203793834,0.06917659713218427,-0.030731655028286856
2015-06-22,179.14576721191406,179.7375907557343,178.934400739065,179.162680141962,70696000,177.4774658203125,57.288960907166285,0.19798489799970298,0.015011655577311114
2015-06-23,179.2726287841797,179.61082296958904,178.87527158010593,179.3571805557293,68476800,177.5772277832031,57.76152512797231,0.30676685574897533,0.07336269561164396
2015-06-24,177.97064208984375,179.38256915120272,177.94527913491083,179.00211192641822,92307300,177.52774963378906,51.46767510072632,0.2846367802978591,0.115617512548887
2015-06-25,177.42950439453125,178.6047016788958,177.35341554680983,178.47788693269342,97107400,177.4613151550293,49.07426317309413,0.22088699870525375,0.13667140978016035
2015-06-26,177.3957061767578,178.03825577891416,176.83769544550177,177.79306338148842,104174800,177.4487205505371,48.92124216046681,0.16572720374671235,0.14248256857347075
2015-06-29,173.67567443847656,177.40418367379982,173.5995855726433,175.89925479029452,202621300,177.23203659057617,35.71930163714163,-0.176132457508146,0.0787595633571474
2015-06-30,174.0391845703125,175.2820206460126,173.55726274876903,175.23128184838623,182925100,177.04236297607423,37.49436565879833,-0.4129660567208191,-0.019585560658445897
2015-07-01,175.43423461914062,175.88233066827328,174.6394943355347,175.62868823083454,135979900,176.8988815307617,43.8972484073633,-0.482527236747643,-0.11217389587628532
2015-07-02,175.27359008789062,176.0852432895189,174.85085700180696,175.9161526352434,104373700,176.82266998291016,43.34660266293837,-0.5443427992416048,-0.19860767654934922
2015-07-06,174.77474975585938,175.56102702087796,173.7686430526982,173.97155955695555,117975400,176.736661529541,41.601487293174635,-0.6263639895144024,-0.2841589391423599
2015-07-07,175.8738555908203,176.00067034107502,172.5680801591041,174.97766362025118,173820200,176.7598777770996,46.69373980084589,-0.595809596317963,-0.3464890705774805
2015-07-08,172.9232177734375,174.80860397168993,172.68648824633817,174.52114853175382,164020100,176.63682327270507,37.29240342161513,-0.8004596315670369,-0.43728318277539185
2015-07-09,173.2360076904297,175.30741006320542,173.12610586428139,175.0453047219852,144113100,176.42423782348632,38.701378035639,-0.9267240289785832,-0.5351713520160302
2015-07-10,175.41732788085938,175.840060991263,173.27829937428038,175.2566872347795,129456900,176.29210968017577,47.551817109343126,-0.8410797208310896,-0.5963530257790421
2015-07-13,177.35340881347656,177.46331062241677,176.6516704759601,176.6939463566852,106069400,176.32493743896484,53.9122719946466,-0.6099493227194728,-0.5990722851671283
2015-07-14,178.12277221679688,178.4356034120179,177.25194326138384,177.3111320742699,81709600,176.43409881591796,56.18612355031555,-0.3605395447578701,-0.5513657370852767
2015-07-15,178.06358337402344,178.6300440096566,177.5816615925046,178.1650351592752,97914100,176.49234008789062,55.957391365449155,-0.16574592788944642,-0.47424177524611066
2015-07-16,179.49244689941406,179.49244689941406,178.88371030489284,179.12888978564723,106683300,176.60772171020508,60.172570805864375,0.10274241131659778,-0.358844937933569
2015-07-17,179.64468383789062,179.70387267391516,179.06977292058505,179.48404316958687,89030000,176.63858337402343,60.605180377577405,0.3240699267403784,-0.22226196499877948
2015-07-20,179.7376708984375,180.23649290059097,179.4164024889918,179.87294859756804,70446800,176.7138328552246,60.88465870469071,0.5011993419252292,-0.07756970361397775
2015-07-21,179.02745056152344,179.8644666629783,178.72308224288432,179.60236132962558,77965000,176.7079170227051,57.52773433403138,0.5776085224794656,0.05346594160471092
